season,round,player_id,team,opponent_team,element_type,minutes,goals_scored,assists,bps,influence,goals_conceded,ict_index,fdr_attack,fdr_defense,is_home,total_points_roll1,total_points_roll3,total_points_roll5,total_points_roll10,goals_scored_roll1,goals_scored_roll3,goals_scored_roll5,goals_scored_roll10,assists_roll1,assists_roll3,assists_roll5,assists_roll10,minutes_roll1,minutes_roll3,minutes_roll5,minutes_roll10,bps_roll1,bps_roll3,bps_roll5,bps_roll10,influence_roll1,influence_roll3,influence_roll5,influence_roll10,goals_conceded_roll1,goals_conceded_roll3,goals_conceded_roll5,goals_conceded_roll10,goals_scored_roll_team3,goals_scored_roll_team5,goals_scored_roll_team10,goals_conceded_roll_team3,goals_conceded_roll_team5,goals_conceded_roll_team10,target
2021-22,8,572,Arsenal,7,1.0,0,0,0,0,0.0,0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4,0.2,0.0
2021-22,9,1,Arsenal,2,1.0,0,0,0,0,0.0,0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.75,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9.875,0.0,0.0,0.0,1.125,0.0,0.0,0.0,0.6666666666666666,0.4,0.2,0.0
2021-22,9,2,Arsenal,2,1.0,0,0,0,0,0.0,0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4,0.2,0.0
2021-22,9,532,Arsenal,2,1.0,0,0,0,0,0.0,0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0
2021-22,9,559,Arsenal,2,1.0,90,0,0,15,23.0,1,2.3,3.0,3.0,1,2.0,3.6666666666666665,5.2,3.7142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,64.28571428571429,16.0,18.333333333333332,22.0,15.714285714285714,18.6,17.8,17.759999999999998,12.685714285714285,2.0,1.0,0.6,0.42857142857142855,0.0,0.0,0.0,0.0,0.4,0.2,3.0
2021-22,9,572,Arsenal,2,1.0,0,0,0,0,0.0,0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.3,0.0
2021-22,10,1,Arsenal,9,1.0,0,0,0,0,0.0,0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,5.333333333333333,0.0,0.0,0.0,8.777777777777779,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.3,0.0
2021-22,10,2,Arsenal,9,1.0,0,0,0,0,0.0,0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.3,0.0
2021-22,10,532,Arsenal,9,1.0,0,0,0,0,0.0,0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0
2021-22,10,559,Arsenal,9,1.0,90,0,0,38,50.8,0,5.1,3.0,3.0,1,3.0,3.6666666666666665,4.6,3.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,67.5,15.0,19.0,20.4,15.625,23.0,18.86666666666667,20.56,13.975,1.0,1.0,0.8,0.5,0.0,0.0,0.0,0.0,0.2,0.3,10.0
