goals_scored,season,element_type,assists,team,influence,goals_conceded,clean_sheets,bps,round,expected_goal_involvements,expected_goals,player_id,bonus,opponent_team,minutes,expected_goals_conceded,creativity,threat,expected_assists,total_points,player_name,ict_index,fdr_attack,fdr_defense,is_home
0,2021-22,4.0,0,Aston Villa,0.0,0,0,2,2,,,47,0,14,1,,0.5,0.0,,1,Wesley Moraes,0.0,3.0,3.0,1
0,2021-22,4.0,0,Watford,2.2,0,0,2,2,,,472,0,4,45,,1.2,3.0,,1,Juan Camilo Hernández Suárez,0.6,3.0,3.0,1
0,2021-22,4.0,0,Southampton,0.0,0,0,0,2,,,344,0,13,0,,0.0,0.0,,0,Daniel N'Lundulu,0.0,3.0,3.0,1
0,2021-22,4.0,0,Brentford,0.0,0,0,0,2,,,95,0,7,0,,0.0,0.0,,0,Halil Dervişoğlu,0.0,3.0,3.0,1
0,2021-22,4.0,0,Norwich,0.0,0,0,0,2,,,322,0,12,0,,0.0,0.0,,0,Jordan Hugill,0.0,3.0,3.0,1
0,2021-22,4.0,0,Everton,0.0,0,0,0,2,,,545,0,10,0,,0.0,0.0,,0,Nathan Broadhead,0.0,3.0,3.0,1
0,2021-22,4.0,0,Aston Villa,0.0,0,0,0,3,,,49,0,3,0,,0.0,0.0,,0,Keinan Davis,0.0,3.0,3.0,1
0,2021-22,4.0,0,Everton,0.0,0,0,0,3,,,564,0,4,0,,0.0,0.0,,0,Moise Kean,0.0,3.0,3.0,1
0,2021-22,4.0,0,Watford,6.2,1,0,8,3,,,468,0,17,64,,23.1,4.0,,2,Joshua King,3.3,3.0,3.0,1
0,2021-22,4.0,0,Everton,11.6,0,1,-3,3,,,180,0,4,90,,11.7,13.0,,1,Richarlison de Andrade,3.6,3.0,3.0,1
0,2021-22,4.0,0,Southampton,0.2,1,0,3,3,,,518,0,14,19,,0.6,0.0,,1,Armando Broja,0.1,3.0,3.0,1
0,2021-22,4.0,0,Watford,0.0,0,0,0,3,,,388,0,17,0,,0.0,0.0,,0,Stipe Perica,0.0,3.0,3.0,1
0,2021-22,4.0,0,Watford,0.0,0,0,0,3,,,393,0,17,0,,0.0,0.0,,0,Isaac Success Ajayi,0.0,3.0,3.0,1
0,2021-22,4.0,0,Crystal Palace,0.0,0,0,0,3,,,542,0,19,0,,0.0,0.0,,0,Robert Street,0.0,3.0,3.0,1
0,2021-22,4.0,0,Chelsea,0.0,0,0,0,3,,,136,0,11,0,,0.0,0.0,,0,Tammy Abraham,0.0,3.0,3.0,1
0,2021-22,4.0,0,Wolves,11.4,1,0,10,3,,,430,0,13,90,,35.3,54.0,,2,Raúl Jiménez,10.1,3.0,3.0,1
0,2021-22,4.0,0,Watford,0.4,1,0,-2,3,,,450,0,17,90,,2.0,23.0,,1,Emmanuel Dennis,2.5,3.0,3.0,1
0,2021-22,4.0,0,Arsenal,0.0,0,0,0,3,,,20,0,12,0,,0.0,0.0,,0,Edward Nketiah,0.0,3.0,3.0,1
0,2021-22,4.0,0,Southampton,3.6,1,0,5,3,,,345,0,14,70,,12.9,33.0,,2,Che Adams,5.0,3.0,3.0,1
0,2021-22,4.0,0,Liverpool,0.0,0,0,0,3,,,235,0,6,0,,0.0,0.0,,0,Divock Origi,0.0,3.0,3.0,1
0,2021-22,4.0,0,Watford,0.0,0,0,0,3,,,383,0,17,0,,0.0,0.0,,0,Andre Gray,0.0,3.0,3.0,1
0,2021-22,4.0,0,Crystal Palace,0.0,0,0,0,3,,,159,0,19,0,,0.0,0.0,,0,Jean-Philippe Mateta,0.0,3.0,3.0,1
0,2021-22,4.0,0,Spurs,0.0,0,0,0,3,,,520,0,18,0,,0.0,0.0,,0,Dane Scarlett,0.0,3.0,3.0,1
0,2021-22,4.0,0,Leeds,0.0,0,0,0,3,,,550,0,5,0,,0.0,0.0,,0,Sam Greenwood,0.0,3.0,3.0,1
0,2021-22,4.0,0,Arsenal,1.0,1,0,-1,3,,,6,0,12,31,,0.3,0.0,,1,Alexandre Lacazette,0.1,3.0,3.0,1
0,2021-22,4.0,0,Burnley,1.2,1,0,2,3,,,111,0,10,11,,0.3,0.0,,1,Matej Vydra,0.2,3.0,3.0,1
0,2021-22,4.0,0,Brentford,0.0,0,0,0,3,,,88,0,2,0,,0.0,0.0,,0,Marcus Forss,0.0,3.0,3.0,1
0,2021-22,4.0,0,Leeds,0.0,0,0,0,3,,,577,0,5,0,,0.0,0.0,,0,Joe Gelhardt,0.0,3.0,3.0,1
0,2021-22,4.0,0,Arsenal,0.0,0,0,0,3,,,530,0,12,0,,0.0,0.0,,0,Folarin Balogun,0.0,3.0,3.0,1
0,2021-22,4.0,0,Newcastle,0.0,0,0,0,3,,,300,0,16,0,,0.0,0.0,,0,Dwight Gayle,0.0,3.0,3.0,1
0,2021-22,4.0,0,Chelsea,0.0,0,0,0,3,,,126,0,11,0,,0.0,0.0,,0,Michy Batshuayi,0.0,3.0,3.0,1
0,2021-22,4.0,0,Man Utd,1.6,0,0,4,3,,,278,0,20,18,,2.6,2.0,,1,Anthony Martial,0.6,3.0,3.0,1
