season,round,player_id,team,opponent_team,element_type,minutes,goals_scored,assists,bps,influence,creativity,threat,ict_index,fdr_attack,fdr_defense,is_home,total_points_roll1,total_points_roll3,total_points_roll5,total_points_roll10,goals_scored_roll1,goals_scored_roll3,goals_scored_roll5,goals_scored_roll10,assists_roll1,assists_roll3,assists_roll5,assists_roll10,minutes_roll1,minutes_roll3,minutes_roll5,minutes_roll10,bps_roll1,bps_roll3,bps_roll5,bps_roll10,influence_roll1,influence_roll3,influence_roll5,influence_roll10,creativity_roll1,creativity_roll3,creativity_roll5,creativity_roll10,threat_roll1,threat_roll3,threat_roll5,threat_roll10,goals_scored_roll_team3,goals_scored_roll_team5,goals_scored_roll_team10,goals_conceded_roll_team3,goals_conceded_roll_team5,goals_conceded_roll_team10,target
2021-22,9,20,Arsenal,2,4.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4,0.3,0.3333333333333333,0.4,0.4,0.0
2021-22,9,530,Arsenal,2,4.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.625,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.525,0.0,0.0,0.0,0.46249999999999997,0.0,0.0,0.0,2.125,0.3333333333333333,0.2,0.3,0.3333333333333333,0.2,0.4,0.0
2021-22,10,4,Arsenal,9,4.0,90,0,0,5,15.8,3.0,52.0,7.1,3.0,3.0,1,6.0,5.666666666666667,5.2,4.111111111111111,1.0,0.6666666666666666,0.6,0.4444444444444444,1.0,0.3333333333333333,0.2,0.1111111111111111,90.0,83.66666666666667,86.2,67.55555555555556,27.0,21.666666666666668,19.8,14.88888888888889,56.0,32.0,28.4,20.311111111111114,24.6,14.4,16.78,12.122222222222222,68.0,47.0,46.8,39.55555555555556,0.0,0.2,0.3,0.0,0.2,0.4,2.0
2021-22,10,6,Arsenal,9,4.0,57,0,0,2,1.2,3.2,8.0,1.2,3.0,3.0,1,2.0,2.6666666666666665,1.6,1.0,0.0,0.3333333333333333,0.2,0.1111111111111111,0.0,0.0,0.0,0.0,67.0,36.0,21.6,15.444444444444445,6.0,12.333333333333334,7.4,4.0,4.8,15.866666666666665,9.52,5.3999999999999995,28.4,19.2,11.52,6.433333333333334,10.0,24.0,14.4,8.0,0.0,0.2,0.3,0.0,0.2,0.4,1.0
2021-22,10,20,Arsenal,9,4.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.4,0.0
2021-22,10,530,Arsenal,9,4.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.666666666666667,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.4111111111111111,0.0,0.0,0.0,1.8888888888888888,0.0,0.0,0.2,0.0,0.0,0.2,0.0
2021-22,11,4,Arsenal,18,4.0,90,0,0,-6,4.0,1.8,35.0,4.1,3.0,3.0,1,2.0,5.666666666666667,5.2,3.9,0.0,0.6666666666666666,0.6,0.4,0.0,0.3333333333333333,0.2,0.1,90.0,90.0,86.2,69.8,5.0,21.666666666666668,19.6,13.9,15.8,37.266666666666666,30.120000000000005,19.86,3.0,14.466666666666669,9.900000000000002,11.209999999999999,52.0,51.666666666666664,53.6,40.8,0.0,0.0,0.1,0.0,0.0,0.1,-1.0
2021-22,11,6,Arsenal,18,4.0,68,0,0,3,7.8,11.5,31.0,5.0,3.0,3.0,1,1.0,2.6666666666666665,1.8,1.0,0.0,0.3333333333333333,0.2,0.1,0.0,0.0,0.0,0.0,57.0,49.0,33.0,19.6,2.0,12.0,7.8,3.8,1.2,16.0,9.76,4.9799999999999995,3.2,19.466666666666665,12.16,6.11,8.0,26.666666666666668,16.0,8.0,0.0,0.0,0.1,0.0,0.0,0.1,2.0
2021-22,11,20,Arsenal,18,4.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0
2021-22,11,530,Arsenal,18,4.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.42000000000000004,0.0,0.0,0.0,0.37,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
